Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Italy,Post-grad,6,6,Front-end Developer,499.0,25.0,33095.0
Other,Bachelors,4,1,Full-stack Developer,19.0,18.0,8364.0
United States of America,Bachelors,3,2,Front-end Developer,499.0,25.0,70000.0
Netherlands,No bachelors,9,9,Front-end Developer,99.0,35.0,57072.0
United States of America,Bachelors,30,20,Front-end Developer,499.0,35.0,130000.0
Ukraine,Bachelors,3,2,Other,99.0,18.0,22512.0
Brazil,Bachelors,5,4,Full-stack Developer,499.0,25.0,22536.0
Other,Bachelors,15,8,Front-end Developer,499.0,25.0,32424.0
Germany,No bachelors,41,14,Front-end Developer,499.0,45.0,56208.0
United States of America,Bachelors,45,33,Front-end Developer,499.0,45.0,175000.0
Other,No bachelors,9,3,Full-stack Developer,9999.0,18.0,42156.0
Israel,Bachelors,14,8,Front-end Developer,499.0,35.0,91056.0
Canada,No bachelors,35,25,Front-end Developer,99.0,45.0,68068.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,6,4,Other,499.0,25.0,49119.0
Turkey,Bachelors,6,2,Front-end Developer,99.0,25.0,9864.0
United States of America,No bachelors,25,4,Other,4999.0,35.0,55702.0
Turkey,No bachelors,3,2,Other,19.0,18.0,11832.0
Ukraine,No bachelors,2,1,Other,499.0,18.0,6852.0
France,No bachelors,20,5,Full-stack Developer,99.0,25.0,39131.0
Other,No bachelors,10,8,Front-end Developer,99.0,25.0,46644.0
United States of America,Bachelors,13,4,Other,499.0,18.0,72000.0
United States of America,No bachelors,33,20,Front-end Developer,4999.0,35.0,110000.0
Italy,No bachelors,20,12,Front-end Developer,99.0,25.0,45401.0
United States of America,Bachelors,18,13,Full-stack Developer,19.0,25.0,155000.0
Germany,No bachelors,18,14,Front-end Developer,9999.0,25.0,75885.0
India,No bachelors,6,5,Other,499.0,25.0,259692.0
United States of America,No bachelors,12,7,Other,499.0,25.0,125000.0
United States of America,Bachelors,43,35,Front-end Developer,499.0,45.0,70000.0
Other,No bachelors,15,9,Front-end Developer,499.0,25.0,30000.0
United States of America,No bachelors,10,4,Front-end Developer,99.0,25.0,105000.0
Sweden,No bachelors,29,24,Other,4999.0,45.0,68724.0
Brazil,No bachelors,4,4,Other,4999.0,25.0,10992.0
Sweden,Bachelors,6,3,Full-stack Developer,99.0,25.0,40500.0
Other,No bachelors,6,1,Other,99.0,18.0,19152.0
Other,Bachelors,5,1,Front-end Developer,99.0,25.0,12828.0
Germany,No bachelors,20,10,Data Scientist or ML Engr.,4999.0,35.0,77832.0
United States of America,No bachelors,35,25,Front-end Developer,499.0,35.0,156000.0
Israel,Bachelors,21,20,Engineering Manager,499.0,35.0,155844.0
Canada,Bachelors,12,5,Other,499.0,25.0,77900.0
Poland,No bachelors,4,2,Other,499.0,25.0,27844.0
Switzerland,Bachelors,22,15,Front-end Developer,4999.0,35.0,126083.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,12,6,Full-stack Developer,499.0,25.0,51704.0
France,No bachelors,20,16,Full-stack Developer,499.0,35.0,50806.0
Turkey,Bachelors,10,4,Front-end Developer,99.0,25.0,38400.0
Other,Post-grad,30,12,Data Scientist or ML Engr.,99.0,35.0,103776.0
United States of America,Bachelors,12,9,Other,499.0,25.0,230000.0
India,Bachelors,10,3,Front-end Developer,499.0,18.0,9773.0
Germany,No bachelors,13,4,Front-end Developer,99.0,25.0,45401.0
United States of America,Bachelors,20,15,Full-stack Developer,499.0,35.0,120000.0
United States of America,Bachelors,12,8,Front-end Developer,99.0,25.0,66500.0
Other,Bachelors,20,5,Front-end Developer,499.0,35.0,31224.0
India,No bachelors,6,6,Front-end Developer,99.0,25.0,8040.0
Other,Bachelors,10,5,Front-end Developer,499.0,25.0,7344.0
